iter	MultiClass
0	2.45386114711	2.14321679422	1.86255521333	1.63830735744	1.44000325	15	1.28184546	16	1.16245897	17	1.05925358	18	0.96436989	0.9	0.881178010	010	0.818493111	011	0.756823212	112	0.697637613	13	0.6624347014	14	0.6216385126
15	0.5837244114
116	0.5270990363117	0.4956379382118	0.4675920019
19	0.4387073963
20	0.4154893896
21	0.3911836684
22	0.3714813973
23	0.3524784282
24	0.3346297455
25	0.3188997072
26	0.3027481865
27	0.2892373394
28	0.2771045735
29	0.2643114732
30	0.253115904
31	0.240458772
32	0.2315208512
33	0.2217356937
34	0.2144704957
35	0.2080279149
36	0.2013852855
37	0.1938065408
38	0.1879559035
39	0.1808617243
40	0.1753830473
41	0.1698407495
42	0.1636436807
43	0.1587907435
44	0.1547886229
45	0.1504556347
46	0.1454868089
47	0.1414166659
48	0.1380152664
49	0.1343634901
50	0.131184249
51	0.1275384589
52	0.1236020074
53	0.1205906052
54	0.1178268831
55	0.1147015925
56	0.1121684637
57	0.108829372
58	0.1058722755
59	0.1030647868
60	0.1008712673
61	0.098146072
62	0.09636047224
63	0.09408269466
64	0.09192633841
65	0.08990161083
66	0.08801960144
67	0.08626983674
68	0.08472635262
69	0.08268000783
70	0.08096894116
71	0.07974846094
72	0.07812553078
73	0.0768834835
74	0.07547072637
75	0.07379428969
76	0.07253484776
77	0.07131898028
78	0.06989712033
79	0.06889904532
80	0.06752711799
81	0.06666054464
82	0.06530689617
83	0.06426170439
84	0.06347335936
85	0.06238481365
86	0.06100288844
87	0.0604469617
88	0.05953433812
89	0.05848484167
90	0.05774867792
91	0.05694961279
92	0.05597212956
93	0.05507942399
94	0.05429989091
95	0.053629233
96	0.05302699544
97	0.05245916006
98	0.05175368471
99	0.05106407512
100	0.05037203163
101	0.04986129203
102	0.04907473696
103	0.04857184995
104	0.04803642686
105	0.04733195957
106	0.04668795346
107	0.04608439779
108	0.04556411301
109	0.04493991771
110	0.04421198362
111	0.04377114385
112	0.04320443186
113	0.04286577275
114	0.04243803019
115	0.04201756405
116	0.04150334538
117	0.04113923817
118	0.04067465524
119	0.04027567409
120	0.03996102262
121	0.03958317305
122	0.03920040701
123	0.03902160758
124	0.03863721109
125	0.0383116134
126	0.03784195229
127	0.03745791855
128	0.03715558347
129	0.03667666778
130	0.0363741369
131	0.03605859005
132	0.03568030516
133	0.03544917384
134	0.03515296045
135	0.03481796298
136	0.03458247273
137	0.03430240341
138	0.0339721193
139	0.0336315845
140	0.03339029134
141	0.03316293756
142	0.03295210815
143	0.03274345858
144	0.03250797221
145	0.03230011449
146	0.03199989638
147	0.03170656612
148	0.03147290293
149	0.03116854385
150	0.03091518753
151	0.03060309839
152	0.03032332206
153	0.03004534385
154	0.02980270261
155	0.02950774929
156	0.02929795526
157	0.0290929448
158	0.02896601937
159	0.02878067652
160	0.02857702875
161	0.02833920614
162	0.02817140593
163	0.02786163384
164	0.02765937414
165	0.02737680423
166	0.02716176537
167	0.026951791
168	0.02671325533
169	0.02651578023
170	0.02633940516
171	0.02619552293
172	0.02599947871
173	0.02584798688
174	0.02571259515
175	0.02543957177
176	0.02522167699
177	0.02499215625
178	0.02484474587
179	0.02466386204
180	0.02458714808
181	0.02443800641
182	0.02428356861
183	0.02414970891
184	0.02402179011
185	0.0238468425
186	0.02370292552
187	0.02349127622
188	0.02328373444
189	0.02314301422
190	0.0229538548
191	0.02278738836
192	0.02260417972
193	0.02249104425
194	0.02234380673
195	0.02221594542
196	0.02205274308
197	0.02192671646
198	0.0218150082
199	0.02171542724
